review_id,review_text,sentiment_label,sentiment_category
REV_01179,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00866,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00102,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00440,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00059,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_01121,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_00324,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00975,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00412,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00856,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00821,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00045,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00050,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00850,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00241,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00171,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00524,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00766,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00839,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00424,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00381,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00610,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00677,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00345,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00110,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00278,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00678,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00571,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00359,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00599,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00391,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
